pub_date	title	venue	location	authors	journal	volume	page	year	url_slug	paper_url	doi
23.10.24	Impact of laser focusing and radiation reaction on particle spectra from nonlinear Breit-Wheeler pair production in the nonperturbative regime	paper		A. Eckey, A. Golub, <b>F. C. Salgado</b>, S. Villalba-Chavez, A. B. Voitkiv, M. Zepf,  C. Mueller	Phys. Rev. A	110	43113	2024	paper-nbw-laser-focus		https://doi.org/10.1103/PhysRevA.110.043113
02.10.24	Technical Design Report for the LUXE experiment	paper		H. Abramowicz, <i>et al.</i>	The European Physical Journal Special Topics	233	1709	2024	paper-luxe-tdr		https://doi.org/10.1140/epjs/s11734-024-01164-9
01.05.24	All-optical source size and emittance measurements of laser-accelerated electron beams	paper		<b>F. C. Salgado</b>, A. Kozan, D. Seipt, D. Hollatz, P. Hilz, M. Kaluza, A. Saevert, A. Seidel, D. Ullmann, Y. Zhao, M. Zepf	Phys. Rev. Accel. Beams 27	27	52803	2024	paper-emittance-glaser-grating		https://doi.org/10.1103/PhysRevAccelBeams.27.05280
19.07.23	Laser-accelerated electron beams at 1 GeV using optically-induced shock injection	paper		K. v. Grafenstein, F. M. Foerster, F. Haberstroh, D. Campbell, F. Irshad, <b>F. C. Salgado</b>, G. Schilling, E. Travac, N. Weisse, M. Zepf, A. Doepp, S. Karsch 	Sci. Rep.	13	11680	2023	paper-laser-hofi		https://doi.org/10.1038/s41598-023-38805-3
01.03.23	Design of a single-particle detection system for strong-field QED experiments	thesis	Friedrich-Schiller-Universitaet Jena	<b>F. C. Salgado</b>	Dissertation	0	0	2023	thesis-fcsalgado		https://www.db-thueringen.de/receive/dbt_mods_00055695
01.12.21	Single particle detection system for strong-field QED experiments	paper		<b>F. C. Salgado</b>,  N. Cavanagh, M. Tamburini, D. W. Storey, <i>et al.</i>	New J. Phys.	24	15002	2021	paper-single-particle-detector		https://doi.org/10.1088/1367-2630/ac4283
01.10.21	Towards pair production in the non-perturbative regime	paper		<b>F. C. Salgado</b>,  K. Grafenstein, A. Golub, A. Doepp, A. Eckey, D. Hollatz, C. Mueller, A. Seidel, D. Seipt, S. Karsch, M. Zepf	New J. Phys.	23	105002	2021	paper-cala-design		https://doi.org/10.1088/1367-2630/ac2921
03.11.21	A laser-plasma platform for photon-photon physics: the two photon Breit-Wheeler process	paper		B. Kettle, D. Hollatz, E. Gerstmayr, G. M. Samarin, <i>et al.</i>	New J. Phys.	23	115006	2021	paper-linear-bw.gemini		https://doi.org/10.1088/1367-2630/ac3048
08.09.21	Conceptual design report for the LUXE experiment	paper		H. Abramowicz, <i>et al.</i>	The European Physical Journal Special Topics	230	2445	2021	paper-luxe-cdr		https://doi.org/10.1140/epjs/s11734-021-00249-z
13.04.17	Raman DTS Based on OTDR Improved by Using Gain-Controlled EDFA and Pre-Shaped Simplex Code	paper		J. B. Rosolem, F. R. Bassan, D. E. Freitas, <b>F. C. Salgado</b>	IEEE Sens. J.	17	3346	2017	paper-raman-dts		https://doi.org/10.1109/JSEN.2017.2694343
